,student_id,name,email,phone,course,city
0,101,Krishna,krishna@gmail.com,9876543210,Python,Hyderabad
1,102,Hari,hari@gmail.com,9876543210,Java,Hyderabad
2,104,Hari2,hari2@gmail.com,6914593897,DOTNET,Delhi
3,105,Ram3,ram3@gmail.com,7330166509,Java,Hyderabad
4,106,Hari4,giri4@gmail.com,6755803699,DOTNET,Hyderabad
5,107,Giri5,ram5@gmail.com,7374278547,Python,Hyderabad
6,108,Hari6,ram6@gmail.com,8502471397,Python,Banglore
7,109,Giri7,ram7@gmail.com,8772228327,Python,Delhi
8,110,Hari8,ram8@gmail.com,7455222630,Java,Banglore
9,111,Giri9,hari9@gmail.com,6433262379,Java,Delhi
10,112,Hari10,hari10@gmail.com,7115789973,DOTNET,Hyderabad
11,113,Hari11,ram11@gmail.com,8374233910,Java,Delhi
12,114,Giri12,hari12@gmail.com,8777023518,Python,Hyderabad
13,115,Giri13,ram13@gmail.com,7432770955,DOTNET,Banglore
14,116,Giri14,hari14@gmail.com,6520027755,DOTNET,Hyderabad
15,117,Ram15,giri15@gmail.com,6087547427,Java,Banglore
16,118,Giri16,hari16@gmail.com,9147941655,Python,Banglore
17,119,Ram17,giri17@gmail.com,9385179215,DOTNET,Hyderabad
18,120,Giri18,ram18@gmail.com,9856224534,Python,Hyderabad
19,121,Giri19,giri19@gmail.com,6066417976,Python,Hyderabad
20,122,Giri20,hari20@gmail.com,9301482986,Java,Hyderabad
21,123,Giri21,ram21@gmail.com,8468743432,DOTNET,Banglore
22,124,Ram22,giri22@gmail.com,6414726168,Python,Delhi
23,125,Hari23,ram23@gmail.com,9910033091,Java,Delhi
24,126,Hari24,hari24@gmail.com,9173478765,DOTNET,Hyderabad
